state_name,state_abbr,state_fips,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X000,total_workers_employed,worker_job_loss_rate
Nevada,NV,31,0,-0.07387218,0.006015038,0.545864662,-4.589097744,0.726315789,1.19906015,1.540037594,1.841541353,3.07443609,0.504887218,-1.867669173,-0.478759398,5.820676692,-6.884398496,0.522744361,2.789285714,9.446804511,3.134962406,1.615789474,75,2188,0.03411
New Hampshire,NH,32,0,-1.880673499,-0.430893119,7.542752562,-1.816837482,-2.086676428,-2.448462665,-8.439531479,4.791654466,-0.894729136,3.543923865,-1.015080527,3.961786237,12.17672035,7.931185944,8.102196193,10.58931186,117.1191801,2.084626647,1.716691069,24,913,0.02674
New Jersey,NJ,33,0,-0.017687075,0.175170068,4.034013605,11.37687075,3.872108844,15.42653061,-2.689115646,3.799319728,-2.535714286,1.810884354,-3.7,-0.767006803,4.441496599,18.93401361,16.73163265,-0.353061224,17.08979592,7.709863946,4.597278912,17,667,0.02617
New Mexico,NM,34,0.003892216,0.014421158,0.331836327,9.645808383,2.774451098,6.010429142,11.20923154,1.594560878,3.278792415,-2.727145709,4.306337325,2.10738523,0.864520958,11.93697605,-2.286626747,22.72799401,8.06257485,28.31022954,13.3994511,4.186726547,43,1627,0.02613
New York,NY,35,0.06012024,13.78857715,0.135871743,6.389779559,1.555911824,0.996793587,3.981763527,-0.502004008,7.240881764,4.364328657,1.657314629,2.762324649,0.556112224,3.791583166,-0.524849699,9.240480962,3.233667335,21.001002,5.456913828,5.229458918,19,559,0.03443
North Carolina,NC,36,0.006306122,-0.017163265,0.68577551,9.897306122,5.917693878,7.367918367,18.37053061,11.37936735,4.970081633,2.968204082,3.197408163,6.404530612,3.033959184,9.034836735,14.31267347,15.29771429,11.82542857,40.13963265,14.10716327,3.229244898,37,1572,0.02343
North Dakota,ND,37,0.00865781,-0.062620247,-0.114292258,-0.43962437,4.620797068,0.230416858,1.529363262,-4.36284929,-0.923728814,-0.755978012,0.52817224,-8.233852497,1.515574897,2.332661475,9.614383875,11.23861658,3.49473202,15.36523133,4.194411361,2.448327989,21,817,0.02567
Ohio,OH,38,0,25.61073171,0.472195122,6.644878049,3.802439024,3.948292683,0.9,3.845853659,0.384390244,1.932195122,0.604878049,7.163902439,0.026829268,5.043414634,-1.189756098,13.76341463,2.156585366,11.74146341,2.20195122,0.911219512,22,745,0.02924
Oklahoma,OK,39,0.030753564,0.831568228,0.074949084,2.514663951,13.18360489,1.99568907,2.776714189,-2.277189409,2.113306178,0.486965377,0.651832994,2.739069925,0.971113374,6.824304141,4.171452817,14.47522064,3.768974881,17.50393754,6.346775289,2.090936864,41,1222,0.03359
Oregon,OR,40,0.045984704,14.1666348,0.046367113,1.192734226,7.803154876,0.833652008,-0.082313576,0.26414914,3.239196941,1.959464627,1.548087954,1.087189293,2.048374761,8.33585086,-5.003154876,7.727724665,2.61625239,-0.217208413,1.357170172,0.842256214,25,775,0.03262
Pennsylvania,PA,41,0.174727932,-0.034461911,-0.036275695,5.64643289,12.42974607,0.804232164,5.263845224,-3.577146312,3.331197098,-0.718863362,0.615840387,-4.658766626,3.446070133,5.744740024,10.37049577,11.19286578,14.8949214,41.92841596,6.775937122,5.296735187,27,693,0.03966
Rhode Island,RI,42,0.054460678,1.185669879,0.318650917,6.024867889,8.777339136,3.033198632,7.255455393,1.576997202,2.142306497,1.925582841,0.216070873,-1.503699099,1.259278831,13.62642213,5.288032328,16.54752875,7.098134908,25.38570096,8.255610818,1.411563569,34,891,0.03763
South Carolina,SC,44,0,-0.039834025,0.258506224,-5.618672199,0.382157676,4.053526971,9.844813278,4.648547718,2.846058091,1.118672199,0.542738589,8.858091286,1.604149378,9.076348548,16.86929461,24.86224066,6.362240664,36.87136929,9.992946058,3.613278008,16,450,0.03645
South Dakota,SD,45,-0.035824977,-0.150683683,-0.27976299,-0.523609845,9.717775752,-0.057064722,-4.258523245,-2.372561531,1.019325433,1.377666363,1.960619872,0.9325433,-0.05159526,5.501276208,-6.938195077,4.430446673,5.264813127,21.6325433,3.143846855,2.132269827,22,649,0.0344
Tennessee,TN,46,-0.009459459,-1.013063063,0.001351351,-6.037837838,-0.027027027,0.713513514,-4.001801802,1.512162162,4.340540541,3.422972973,0.154954955,-0.371621622,-0.029279279,-0.386036036,-12.51981982,6.202702703,2.321621622,13.47792793,-1.994144144,0.018018018,65,2215,0.02916
Texas,TX,47,0.006880428,-0.06506346,-0.053106212,3.015831663,5.13754175,0.74261857,2.428122912,-6.362725451,2.540213761,0.248630595,0.949832999,-7.982765531,1.306746827,1.320841683,4.544355377,10.01469606,3.840681363,17.04655979,1.072010688,-2.911623246,68,2065,0.03291
Utah,UT,48,0.060357959,9.647734196,-0.216488957,10.04834349,7.001237624,-0.231302361,1.340993907,-3.571667936,2.261919269,-2.821077685,0.6541508,-6.935833968,0.990251333,1.129741051,1.989737243,7.249028941,4.963118812,10.85352247,6.284520183,0.413594821,68,1989,0.03412
Vermont,VT,49,0.005442177,1.775510204,-0.61292517,-10.97431973,-15.00833333,-4.07414966,-13.38656463,-5.474319728,1.204081633,-9.78622449,0.755102041,-15.14710884,-2.242176871,-3.857482993,23.28928571,-10.22482993,-4.857482993,10.26819728,1.689455782,2.446258503,15,604,0.02454
Virginia,VA,50,0,-0.274456522,0.507608696,7.030978261,-0.808152174,3.95326087,11.70978261,1.681521739,3.251086957,0.445108696,0.83423913,-1.288043478,0.133152174,0.005978261,-15.21141304,12.6673913,4.45326087,28.19184783,0.230978261,5.527173913,40,1815,0.02207
Washington,WA,51,0.004907652,0.009656992,-0.011926121,1.376306069,2.97176781,0.603588391,1.767493404,-0.698997361,2.378627968,3.636569921,0.762163588,-7.091556728,1.063905013,7.865171504,8.12585752,8.482955145,11.86211082,30.30891821,6.921688654,1.93298153,109,2375,0.04584
